position,DM
minutes,-0.7893
passes_completed,1.456
passes,1.6003
dribbles_completed,-0.3398
dribbles,-0.5274
passes_completed_short,0.1537
passes_short,0.0254
passes_completed_medium,1.8634
passes_medium,1.9155
passes_completed_long,1.9117
passes_long,2.1879
passes_total_distance,2.0248
passes_free_kicks,1.8755
through_balls,1.3016
passes_pressure,0.4269
passes_switches,3.2814
crosses,-0.0104
corner_kicks,3.8462
passes_intercepted,-1.8569
passes_blocked,-0.2716
dispossessed,-1.1056
goals,-0.7238
assists,3.6043
pens_made,-0.2418
pens_att,-0.271
shots_total,-1.0471
shots_on_target,-1.0285
sca,1.4196
gca,1.4176
xg,-0.8908
crosses_into_penalty_area,0.1146
passes_into_final_third,3.3909
passes_into_penalty_area,2.5326
progressive_passes,3.0135
carry_progressive_distance,0.9378
assisted_shots,2.9151
fouled,0.5471
pens_won,-0.2935
tackles,0.615
interceptions,-0.4959
blocks,-1.0636
tackles_won,1.9811
dribble_tackles,1.4526
dribbles_vs,0.5943
pressures,-0.5589
pressure_regains,-0.0281
clearances,-0.6866
errors,-0.3758
aerials_won,-0.313
aerials_lost,-1.0438
ball_recoveries,1.3161
pens_conceded,-0.3182
fouls,-0.7185
cards_yellow_red,-0.1906
