position,LB
passes_completed,0.4499
passes,0.694
dribbles_completed,-0.7032
dribbles,-0.4346
passes_completed_short,1.1547
passes_short,1.1814
passes_completed_medium,0.0099
passes_medium,0.1811
passes_completed_long,-0.4865
passes_long,-0.1094
passes_total_distance,0.0257
passes_free_kicks,0.0484
through_balls,-0.1712
passes_pressure,0.3
passes_switches,0.0701
crosses,1.1891
corner_kicks,0.6415
passes_intercepted,0.692
passes_blocked,1.1548
dispossessed,-0.2973
goals,-0.5928
assists,-0.2494
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.5728
shots_on_target,-0.6942
sca,0.0908
gca,-0.255
xg,-0.5203
crosses_into_penalty_area,1.0956
passes_into_final_third,0.5507
passes_into_penalty_area,0.7774
progressive_passes,0.7533
carry_progressive_distance,-0.0803
assisted_shots,0.29
fouled,-0.2314
pens_won,-0.3695
tackles,-0.2324
interceptions,0.4214
blocks,0.4242
tackles_won,-0.4441
dribble_tackles,-0.0482
dribbles_vs,-0.2471
pressures,-0.5924
pressure_regains,-0.2364
clearances,-0.0133
errors,-0.0142
aerials_won,0.1058
aerials_lost,-0.0833
ball_recoveries,0.0735
pens_conceded,-0.4415
fouls,-0.4176
cards_yellow_red,-0.2618
