position,WB
minutes,1336.0
passes_completed,-0.0404
passes,0.2367
dribbles_completed,-1.0196
dribbles,-0.6283
passes_completed_short,0.6569
passes_short,0.7049
passes_completed_medium,-0.4072
passes_medium,-0.1682
passes_completed_long,-0.6854
passes_long,-0.2085
passes_total_distance,-0.3372
passes_free_kicks,0.0908
through_balls,-0.1548
passes_pressure,0.0163
passes_switches,0.0484
crosses,1.42
corner_kicks,0.1467
passes_intercepted,-0.5945
passes_blocked,1.2815
dispossessed,-0.3476
goals,-0.724
assists,-0.2312
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.9089
shots_on_target,-0.8638
sca,-0.3673
gca,-0.1112
xg,-0.6491
crosses_into_penalty_area,0.5789
passes_into_final_third,0.149
passes_into_penalty_area,0.5885
progressive_passes,0.6619
carry_progressive_distance,-0.252
assisted_shots,0.0557
fouled,-0.1181
pens_won,-0.2937
tackles,-0.3744
interceptions,1.0389
blocks,0.4023
tackles_won,-0.8939
dribble_tackles,-0.0107
dribbles_vs,-0.3885
pressures,-0.5183
pressure_regains,-0.3298
clearances,0.3637
errors,-0.376
aerials_won,0.558
aerials_lost,0.912
ball_recoveries,-0.2585
pens_conceded,-0.3183
fouls,-0.6265
cards_yellow_red,-0.1907
