position,CM
minutes,1686.0
passes_completed,1.2144
passes,1.2905
dribbles_completed,-0.5363
dribbles,-0.5801
passes_completed_short,-0.4132
passes_short,-0.3996
passes_completed_medium,1.4369
passes_medium,1.3786
passes_completed_long,3.2435
passes_long,2.9144
passes_total_distance,2.047
passes_free_kicks,0.4266
through_balls,0.1244
passes_pressure,1.3754
passes_switches,3.2939
crosses,-0.8277
corner_kicks,-0.354
passes_intercepted,-0.231
passes_blocked,-0.2289
dispossessed,-0.7504
goals,-0.1121
assists,0.5128
pens_made,1.0276
pens_att,0.79
shots_total,1.1447
shots_on_target,0.2796
sca,-0.12
gca,0.4146
xg,-0.1624
crosses_into_penalty_area,-0.2843
passes_into_final_third,2.4963
passes_into_penalty_area,-0.3061
progressive_passes,1.7396
carry_progressive_distance,-0.1327
assisted_shots,-0.5523
fouled,-0.9445
pens_won,-0.2937
tackles,0.3055
interceptions,1.9345
blocks,1.0895
tackles_won,0.124
dribble_tackles,0.6826
dribbles_vs,1.3539
pressures,1.0784
pressure_regains,1.1351
clearances,-0.0833
errors,0.7437
aerials_won,-0.2775
aerials_lost,-0.5513
ball_recoveries,1.9419
pens_conceded,-0.3183
fouls,-0.4887
cards_yellow_red,-0.1907
