position,RB
passes_completed,0.6099
passes,0.9713
dribbles_completed,-0.2459
dribbles,-0.1561
passes_completed_short,0.3681
passes_short,0.3597
passes_completed_medium,0.7983
passes_medium,1.0289
passes_completed_long,-0.0646
passes_long,0.5056
passes_total_distance,0.5071
passes_free_kicks,0.6782
through_balls,-0.1629
passes_pressure,-0.003
passes_switches,0.3024
crosses,0.9829
corner_kicks,-0.4484
passes_intercepted,1.1994
passes_blocked,0.4128
dispossessed,-0.4232
goals,-0.7415
assists,0.0763
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.7889
shots_on_target,-0.6898
sca,0.0057
gca,-0.5897
xg,-0.7238
crosses_into_penalty_area,1.7317
passes_into_final_third,1.0965
passes_into_penalty_area,1.463
progressive_passes,1.9025
carry_progressive_distance,1.072
assisted_shots,0.4215
fouled,1.5066
pens_won,-0.3695
tackles,1.5669
interceptions,1.3173
blocks,1.7981
tackles_won,1.2625
dribble_tackles,2.3796
dribbles_vs,2.7642
pressures,0.7507
pressure_regains,0.6018
clearances,0.396
errors,-0.5457
aerials_won,-0.0248
aerials_lost,-0.4279
ball_recoveries,0.4613
pens_conceded,-0.4415
fouls,-0.4296
cards_yellow_red,-0.2618
