position,CB
passes_completed,3.0531
passes,2.5521
dribbles_completed,-0.9873
dribbles,-0.993
passes_completed_short,1.7547
passes_short,1.4478
passes_completed_medium,3.2199
passes_medium,2.9015
passes_completed_long,2.239
passes_long,0.9824
passes_total_distance,3.0648
passes_free_kicks,0.6565
through_balls,0.3567
passes_pressure,0.14
passes_switches,0.3873
crosses,-0.969
corner_kicks,-0.4808
passes_intercepted,-0.9913
passes_blocked,-1.1815
dispossessed,-1.147
goals,-0.6378
assists,-0.6989
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.6987
shots_on_target,-0.6602
sca,-0.7946
gca,-0.1094
xg,-0.6655
crosses_into_penalty_area,-0.8365
passes_into_final_third,1.9846
passes_into_penalty_area,-0.5911
progressive_passes,1.1422
carry_progressive_distance,2.0821
assisted_shots,-1.0879
fouled,-0.5597
pens_won,-0.3695
tackles,-0.3424
interceptions,0.0416
blocks,0.3527
tackles_won,-0.3148
dribble_tackles,-0.236
dribbles_vs,-0.8613
pressures,-1.3133
pressure_regains,-0.9858
clearances,1.1247
errors,2.0493
aerials_won,0.17
aerials_lost,-0.6931
ball_recoveries,0.7618
pens_conceded,0.985
fouls,-0.6353
cards_yellow_red,-0.2618
