position,RB
minutes,540.0
passes_completed,0.0292
passes,0.2339
dribbles_completed,-1.2424
dribbles,-1.0413
passes_completed_short,-0.1264
passes_short,-0.238
passes_completed_medium,0.0434
passes_medium,0.2776
passes_completed_long,0.4492
passes_long,0.7916
passes_total_distance,0.1609
passes_free_kicks,1.3378
through_balls,-0.6322
passes_pressure,-0.5315
passes_switches,-0.6807
crosses,-0.4486
corner_kicks,-0.5567
passes_intercepted,0.8771
passes_blocked,-0.1623
dispossessed,-0.4718
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.1598
shots_on_target,-1.029
sca,-1.5433
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,-0.2612
passes_into_final_third,-0.7072
passes_into_penalty_area,-0.7867
progressive_passes,-0.9903
carry_progressive_distance,-1.1726
assisted_shots,-1.3957
fouled,0.3614
pens_won,-0.2937
tackles,0.9901
interceptions,-0.592
blocks,3.1513
tackles_won,1.6612
dribble_tackles,1.2104
dribbles_vs,0.183
pressures,-0.7769
pressure_regains,-1.0347
clearances,1.3933
errors,3.1198
aerials_won,0.3726
aerials_lost,-0.6351
ball_recoveries,0.624
pens_conceded,4.2539
fouls,0.3846
cards_yellow_red,-0.1907
