position,RW
passes_completed,1.2607
passes,1.0152
dribbles_completed,2.2541
dribbles,1.7079
passes_completed_short,2.0712
passes_short,1.7519
passes_completed_medium,0.7976
passes_medium,0.6573
passes_completed_long,-0.0385
passes_long,-0.222
passes_total_distance,0.732
passes_free_kicks,-0.4459
through_balls,-0.632
passes_pressure,2.1941
passes_switches,-0.3488
crosses,0.0719
corner_kicks,-0.3249
passes_intercepted,-0.1412
passes_blocked,-0.0838
dispossessed,2.1752
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,0.2108
shots_on_target,-0.4305
sca,-0.2927
gca,-1.0099
xg,-0.7155
crosses_into_penalty_area,0.0126
passes_into_final_third,1.066
passes_into_penalty_area,-0.1627
progressive_passes,1.07
carry_progressive_distance,1.3262
assisted_shots,-0.6942
fouled,0.3133
pens_won,-0.2935
tackles,-0.5244
interceptions,0.4038
blocks,0.3346
tackles_won,0.2977
dribble_tackles,-0.7912
dribbles_vs,-1.1112
pressures,-0.7128
pressure_regains,-0.6511
clearances,-0.5744
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-1.0738
ball_recoveries,-0.1126
pens_conceded,-0.3182
fouls,-1.2537
cards_yellow_red,-0.1906
