position,CB
minutes,-0.7154
passes_completed,-0.4282
passes,-0.4316
dribbles_completed,-0.8008
dribbles,-0.86
passes_completed_short,-1.0716
passes_short,-1.3198
passes_completed_medium,-0.1267
passes_medium,-0.235
passes_completed_long,0.5588
passes_long,1.0644
passes_total_distance,0.016
passes_free_kicks,2.0472
through_balls,-0.632
passes_pressure,-1.1841
passes_switches,0.5345
crosses,-0.8055
corner_kicks,-0.5565
passes_intercepted,-1.8569
passes_blocked,-1.2804
dispossessed,-1.4144
goals,0.423
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.9127
shots_on_target,-0.5381
sca,-1.3532
gca,-1.0099
xg,-0.6033
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.3996
passes_into_penalty_area,-1.3074
progressive_passes,-0.3906
carry_progressive_distance,-0.8835
assisted_shots,-1.1077
fouled,-1.1244
pens_won,-0.2935
tackles,-0.3107
interceptions,-0.8002
blocks,2.0528
tackles_won,-0.4361
dribble_tackles,-0.3776
dribbles_vs,-0.7956
pressures,-1.0899
pressure_regains,-0.792
clearances,1.8764
errors,-0.3758
aerials_won,2.0853
aerials_lost,1.1672
ball_recoveries,1.4154
pens_conceded,-0.3182
fouls,-1.0719
cards_yellow_red,-0.1906
