position,LW
passes_completed,0.2364
passes,0.405
dribbles_completed,0.4916
dribbles,0.4949
passes_completed_short,0.7749
passes_short,0.8619
passes_completed_medium,-0.2194
passes_medium,-0.1628
passes_completed_long,0.0012
passes_long,0.1496
passes_total_distance,-0.0017
passes_free_kicks,0.3248
through_balls,1.313
passes_pressure,0.8872
passes_switches,1.7532
crosses,0.6153
corner_kicks,2.745
passes_intercepted,0.247
passes_blocked,0.754
dispossessed,0.8279
goals,-0.0577
assists,0.274
pens_made,1.3549
pens_att,2.4461
shots_total,0.5172
shots_on_target,0.2253
sca,2.2432
gca,0.6515
xg,0.549
crosses_into_penalty_area,0.2213
passes_into_final_third,0.2106
passes_into_penalty_area,1.5714
progressive_passes,0.7705
carry_progressive_distance,0.2053
assisted_shots,3.1105
fouled,0.7606
pens_won,1.2924
tackles,0.0762
interceptions,0.991
blocks,-0.3097
tackles_won,0.0699
dribble_tackles,0.1284
dribbles_vs,-0.0741
pressures,0.5929
pressure_regains,0.7041
clearances,-0.8143
errors,-0.5457
aerials_won,-0.1985
aerials_lost,0.4703
ball_recoveries,-0.3271
pens_conceded,-0.4415
fouls,1.887
cards_yellow_red,-0.2618
