position,LB
minutes,409.0
passes_completed,0.7626
passes,0.8715
dribbles_completed,0.2129
dribbles,-0.0748
passes_completed_short,1.2036
passes_short,1.0875
passes_completed_medium,0.8411
passes_medium,0.8869
passes_completed_long,-1.06
passes_long,-0.1013
passes_total_distance,0.1632
passes_free_kicks,-0.5028
through_balls,-0.6322
passes_pressure,-0.2578
passes_switches,-0.6876
crosses,0.679
corner_kicks,-0.5567
passes_intercepted,-0.8261
passes_blocked,0.062
dispossessed,-0.1698
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.3358
shots_on_target,-1.029
sca,-0.9646
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,0.706
passes_into_final_third,0.8013
passes_into_penalty_area,-0.6197
progressive_passes,0.6214
carry_progressive_distance,1.6036
assisted_shots,-0.4475
fouled,-1.0711
pens_won,-0.2937
tackles,-1.7088
interceptions,-1.1774
blocks,3.184
tackles_won,-1.8364
dribble_tackles,-1.4379
dribbles_vs,-0.679
pressures,-1.4488
pressure_regains,-2.028
clearances,1.3697
errors,-0.376
aerials_won,0.4132
aerials_lost,-0.8706
ball_recoveries,-0.553
pens_conceded,-0.3183
fouls,-1.3321
cards_yellow_red,-0.1907
