position,DM
minutes,753.0
passes_completed,0.415
passes,0.3542
dribbles_completed,-0.8472
dribbles,-0.9433
passes_completed_short,-0.1749
passes_short,-0.0852
passes_completed_medium,0.9802
passes_medium,0.9787
passes_completed_long,-0.0694
passes_long,-0.4074
passes_total_distance,0.4137
passes_free_kicks,-0.1759
through_balls,-0.6322
passes_pressure,0.5877
passes_switches,-0.8827
crosses,-0.8402
corner_kicks,-0.5567
passes_intercepted,-0.1767
passes_blocked,-0.644
dispossessed,-0.8739
goals,-0.039
assists,0.187
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.5576
shots_on_target,-0.443
sca,-0.2245
gca,-0.4786
xg,-0.0324
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.5277
passes_into_penalty_area,-0.5603
progressive_passes,-0.1433
carry_progressive_distance,-1.0786
assisted_shots,-0.3657
fouled,0.2726
pens_won,-0.2937
tackles,-0.13
interceptions,0.6118
blocks,0.0914
tackles_won,0.2538
dribble_tackles,-0.1718
dribbles_vs,-0.9889
pressures,-0.6127
pressure_regains,-0.8547
clearances,-0.3678
errors,4.6379
aerials_won,2.2314
aerials_lost,0.0382
ball_recoveries,0.7428
pens_conceded,-0.3183
fouls,2.9883
cards_yellow_red,-0.1907
