position,CB
passes_completed,0.9196
passes,0.8088
dribbles_completed,-0.7714
dribbles,-0.8517
passes_completed_short,0.006
passes_short,-0.1505
passes_completed_medium,1.0231
passes_medium,0.994
passes_completed_long,1.5899
passes_long,1.0563
passes_total_distance,1.239
passes_free_kicks,0.0646
through_balls,-0.3256
passes_pressure,-0.3419
passes_switches,1.6295
crosses,-0.8685
corner_kicks,-0.4808
passes_intercepted,-0.1073
passes_blocked,-1.1145
dispossessed,-1.1615
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.3185
shots_on_target,-0.6701
sca,-0.9122
gca,-0.6145
xg,-0.4933
crosses_into_penalty_area,-0.6706
passes_into_final_third,0.7943
passes_into_penalty_area,-0.7955
progressive_passes,0.4919
carry_progressive_distance,0.3275
assisted_shots,-1.1577
fouled,-0.5696
pens_won,-0.3695
tackles,-0.2372
interceptions,1.9514
blocks,1.0188
tackles_won,-1.0364
dribble_tackles,-0.5587
dribbles_vs,-0.5865
pressures,-0.7693
pressure_regains,-0.4307
clearances,0.6557
errors,4.2466
aerials_won,-0.0341
aerials_lost,-0.3836
ball_recoveries,0.9348
pens_conceded,-0.4415
fouls,0.0557
cards_yellow_red,-0.2618
