position,RW
passes_completed,0.6128
passes,0.8177
dribbles_completed,1.0281
dribbles,0.7427
passes_completed_short,0.9684
passes_short,1.0951
passes_completed_medium,0.2052
passes_medium,0.2459
passes_completed_long,0.4115
passes_long,0.6647
passes_total_distance,0.4634
passes_free_kicks,0.2802
through_balls,0.2369
passes_pressure,1.2162
passes_switches,1.2583
crosses,1.4328
corner_kicks,3.3769
passes_intercepted,0.8442
passes_blocked,1.1417
dispossessed,0.5002
goals,0.8221
assists,1.5882
pens_made,2.0906
pens_att,1.6785
shots_total,1.1764
shots_on_target,1.4356
sca,2.4777
gca,1.9352
xg,0.7651
crosses_into_penalty_area,0.6239
passes_into_final_third,-0.093
passes_into_penalty_area,1.6451
progressive_passes,0.9596
carry_progressive_distance,1.8406
assisted_shots,2.6193
fouled,0.5549
pens_won,0.8693
tackles,-0.3432
interceptions,-0.714
blocks,-1.0012
tackles_won,-0.2492
dribble_tackles,-0.6581
dribbles_vs,-0.5016
pressures,0.325
pressure_regains,0.438
clearances,-0.8084
errors,-0.3758
aerials_won,-0.9147
aerials_lost,-0.7668
ball_recoveries,-0.4914
pens_conceded,-0.3182
fouls,-1.1307
cards_yellow_red,-0.1906
