position,LB
minutes,457.0
passes_completed,0.2613
passes,0.6763
dribbles_completed,-0.8083
dribbles,-0.8669
passes_completed_short,-0.3104
passes_short,0.0606
passes_completed_medium,0.7442
passes_medium,0.9087
passes_completed_long,-0.1856
passes_long,0.5177
passes_total_distance,0.2484
passes_free_kicks,-0.5573
through_balls,-0.6322
passes_pressure,1.5003
passes_switches,-0.1291
crosses,0.4884
corner_kicks,-0.5567
passes_intercepted,0.9122
passes_blocked,-0.1404
dispossessed,-1.415
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7119
shots_on_target,-1.029
sca,-1.1993
gca,-1.0103
xg,-0.7496
crosses_into_penalty_area,-0.1542
passes_into_final_third,0.3049
passes_into_penalty_area,-1.0
progressive_passes,-0.4176
carry_progressive_distance,-0.7032
assisted_shots,-0.83
fouled,-0.3351
pens_won,-0.2937
tackles,0.8282
interceptions,0.4215
blocks,1.3641
tackles_won,0.23
dribble_tackles,0.6483
dribbles_vs,-0.3517
pressures,-0.137
pressure_regains,-0.1798
clearances,0.0518
errors,-0.376
aerials_won,-0.1461
aerials_lost,0.3092
ball_recoveries,1.4896
pens_conceded,-0.3183
fouls,-0.7691
cards_yellow_red,-0.1907
