position,FW
minutes,-0.7265
passes_completed,-1.1701
passes,-1.2194
dribbles_completed,1.5145
dribbles,0.7095
passes_completed_short,-0.9763
passes_short,-1.0516
passes_completed_medium,-0.9435
passes_medium,-0.989
passes_completed_long,-1.0093
passes_long,-0.8811
passes_total_distance,-1.087
passes_free_kicks,-0.2839
through_balls,0.845
passes_pressure,-1.3652
passes_switches,0.8381
crosses,2.3023
corner_kicks,-0.3586
passes_intercepted,-1.3684
passes_blocked,-0.3435
dispossessed,-0.2351
goals,1.6653
assists,0.9001
pens_made,-0.2418
pens_att,-0.271
shots_total,3.7269
shots_on_target,3.0583
sca,1.7023
gca,1.7716
xg,1.6547
crosses_into_penalty_area,1.3611
passes_into_final_third,-1.3705
passes_into_penalty_area,0.3222
progressive_passes,-0.5883
carry_progressive_distance,2.107
assisted_shots,1.8974
fouled,0.3064
pens_won,-0.2935
tackles,-1.2283
interceptions,-1.6369
blocks,-1.695
tackles_won,-0.7423
dribble_tackles,-1.4373
dribbles_vs,-1.7267
pressures,-0.8394
pressure_regains,-1.2516
clearances,-1.0151
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-0.2446
ball_recoveries,-1.2859
pens_conceded,-0.3182
fouls,-0.0189
cards_yellow_red,-0.1906
