position,WB
minutes,-0.7123
passes_completed,0.4973
passes,0.625
dribbles_completed,1.1571
dribbles,1.6817
passes_completed_short,0.8317
passes_short,0.7313
passes_completed_medium,0.2772
passes_medium,0.4297
passes_completed_long,0.0357
passes_long,0.3786
passes_total_distance,0.3717
passes_free_kicks,-0.5547
through_balls,3.5751
passes_pressure,-0.3785
passes_switches,0.0894
crosses,1.9653
corner_kicks,0.3827
passes_intercepted,-1.3931
passes_blocked,0.4461
dispossessed,1.0489
goals,-0.7238
assists,2.4023
pens_made,-0.2418
pens_att,-0.271
shots_total,1.1723
shots_on_target,-0.0585
sca,1.0501
gca,0.7507
xg,0.1044
crosses_into_penalty_area,2.6491
passes_into_final_third,-0.5344
passes_into_penalty_area,1.7871
progressive_passes,0.0984
carry_progressive_distance,2.9837
assisted_shots,0.8784
fouled,-0.863
pens_won,-0.2935
tackles,-0.3289
interceptions,0.4319
blocks,5.1149
tackles_won,-0.4515
dribble_tackles,0.6587
dribbles_vs,0.5873
pressures,0.4205
pressure_regains,-0.5554
clearances,0.0573
errors,-0.3758
aerials_won,0.4566
aerials_lost,-0.0937
ball_recoveries,-0.5778
pens_conceded,-0.3182
fouls,-0.7622
cards_yellow_red,-0.1906
