position,CB
minutes,2.4937
passes_completed,1.5156
passes,1.7254
dribbles_completed,-0.1571
dribbles,-0.3
passes_completed_short,0.7438
passes_short,0.7816
passes_completed_medium,1.4952
passes_medium,1.6226
passes_completed_long,2.8551
passes_long,2.8304
passes_total_distance,1.9441
passes_free_kicks,1.1178
through_balls,-0.5
passes_pressure,1.9653
passes_switches,1.3356
crosses,-0.4063
corner_kicks,-0.3242
passes_intercepted,0.1795
passes_blocked,0.3243
dispossessed,-0.5109
goals,-0.3403
assists,0.1146
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.6327
shots_on_target,0.3504
sca,0.0262
gca,-0.1042
xg,0.1713
crosses_into_penalty_area,-0.4603
passes_into_final_third,1.6477
passes_into_penalty_area,-0.3764
progressive_passes,1.0894
carry_progressive_distance,0.6652
assisted_shots,-0.1239
fouled,0.9563
pens_won,-0.3681
tackles,1.4457
interceptions,2.0108
blocks,3.9366
tackles_won,0.8694
dribble_tackles,2.1399
dribbles_vs,1.1728
pressures,0.3333
pressure_regains,0.6007
clearances,6.6588
errors,4.9497
aerials_won,5.3358
aerials_lost,3.0853
ball_recoveries,3.6801
pens_conceded,4.4944
fouls,0.9363
cards_yellow_red,-0.3235
