position,LB
minutes,-0.9875
passes_completed,-0.8127
passes,-0.8513
dribbles_completed,-0.6606
dribbles,-0.6502
passes_completed_short,-0.7903
passes_short,-0.8061
passes_completed_medium,-0.7538
passes_medium,-0.7903
passes_completed_long,-0.7114
passes_long,-0.7133
passes_total_distance,-0.7916
passes_free_kicks,-0.542
through_balls,-0.5
passes_pressure,-0.8971
passes_switches,-0.6894
crosses,-0.4973
corner_kicks,-0.2505
passes_intercepted,-0.8134
passes_blocked,-0.6475
dispossessed,-0.6071
goals,-0.4721
assists,-0.3472
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.5827
shots_on_target,-0.5775
sca,-0.675
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.4603
passes_into_final_third,-0.7163
passes_into_penalty_area,-0.6203
progressive_passes,-0.7547
carry_progressive_distance,-0.8121
assisted_shots,-0.5921
fouled,-0.7453
pens_won,-0.3681
tackles,-0.7382
interceptions,-0.8029
blocks,-0.8077
tackles_won,-0.7194
dribble_tackles,-0.6408
dribbles_vs,-0.7725
pressures,-0.7857
pressure_regains,-0.8141
clearances,-0.5694
errors,-0.5331
aerials_won,-0.6772
aerials_lost,-0.6363
ball_recoveries,-0.8813
pens_conceded,-0.4889
fouls,-0.7571
cards_yellow_red,-0.3235
