position,LB
minutes,0.4026
passes_completed,0.2528
passes,0.4328
dribbles_completed,-0.3081
dribbles,-0.3304
passes_completed_short,0.3064
passes_short,0.329
passes_completed_medium,0.1786
passes_medium,0.3424
passes_completed_long,0.271
passes_long,0.5418
passes_total_distance,0.2365
passes_free_kicks,0.2141
through_balls,-0.073
passes_pressure,0.5582
passes_switches,0.4052
crosses,1.5421
corner_kicks,0.7561
passes_intercepted,0.7753
passes_blocked,1.2214
dispossessed,-0.0302
goals,-0.4721
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.1514
shots_on_target,-0.1651
sca,-0.1251
gca,0.001
xg,-0.4075
crosses_into_penalty_area,1.5006
passes_into_final_third,0.0469
passes_into_penalty_area,0.4162
progressive_passes,0.1457
carry_progressive_distance,0.105
assisted_shots,-0.0413
fouled,-0.2881
pens_won,-0.3681
tackles,0.5044
interceptions,0.9423
blocks,0.8092
tackles_won,-0.1898
dribble_tackles,0.9635
dribbles_vs,0.8867
pressures,0.0611
pressure_regains,-0.0949
clearances,0.3547
errors,1.8167
aerials_won,-0.1221
aerials_lost,-0.1165
ball_recoveries,0.4486
pens_conceded,2.0027
fouls,-0.1657
cards_yellow_red,-0.3235
