position,FW
minutes,-0.9012
passes_completed,-0.8009
passes,-0.8353
dribbles_completed,-0.6103
dribbles,-0.5893
passes_completed_short,-0.7468
passes_short,-0.7564
passes_completed_medium,-0.7629
passes_medium,-0.7838
passes_completed_long,-0.7253
passes_long,-0.7355
passes_total_distance,-0.7955
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.8182
passes_switches,-0.7259
crosses,-0.5884
corner_kicks,-0.3242
passes_intercepted,-0.8531
passes_blocked,-0.7222
dispossessed,-0.5109
goals,-0.2085
assists,-0.5781
pens_made,-0.2258
pens_att,0.3272
shots_total,-0.4455
shots_on_target,-0.4229
sca,-0.5788
gca,-0.4198
xg,-0.176
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.707
passes_into_penalty_area,-0.5898
progressive_passes,-0.7547
carry_progressive_distance,-0.8211
assisted_shots,-0.6472
fouled,-0.5167
pens_won,0.7686
tackles,-0.6441
interceptions,-0.7317
blocks,-0.829
tackles_won,-0.5429
dribble_tackles,-0.4804
dribbles_vs,-0.5055
pressures,-0.6777
pressure_regains,-0.6955
clearances,-0.5899
errors,-0.5331
aerials_won,-0.4182
aerials_lost,-0.3244
ball_recoveries,-0.8888
pens_conceded,-0.4889
fouls,-0.6227
cards_yellow_red,-0.3235
