position,FW
minutes,-0.0185
passes_completed,-0.4486
passes,-0.3757
dribbles_completed,1.0011
dribbles,0.9793
passes_completed_short,-0.3342
passes_short,-0.2891
passes_completed_medium,-0.4861
passes_medium,-0.4338
passes_completed_long,-0.4413
passes_long,-0.2783
passes_total_distance,-0.4702
passes_free_kicks,-0.1732
through_balls,-0.5
passes_pressure,-0.1826
passes_switches,0.0586
crosses,1.1415
corner_kicks,0.9034
passes_intercepted,-0.1779
passes_blocked,0.0752
dispossessed,0.3303
goals,0.4506
assists,0.8072
pens_made,0.4563
pens_att,0.3272
shots_total,1.1031
shots_on_target,0.9691
sca,0.6861
gca,0.5269
xg,0.533
crosses_into_penalty_area,0.5668
passes_into_final_third,-0.3626
passes_into_penalty_area,0.1724
progressive_passes,-0.2439
carry_progressive_distance,0.4973
assisted_shots,0.7299
fouled,0.5753
pens_won,-0.3681
tackles,-0.1734
interceptions,-0.3755
blocks,0.022
tackles_won,-0.1604
dribble_tackles,0.0009
dribbles_vs,-0.0097
pressures,0.0547
pressure_regains,0.1027
clearances,-0.4564
errors,-0.5331
aerials_won,-0.2887
aerials_lost,0.1538
ball_recoveries,-0.1977
pens_conceded,-0.4889
fouls,0.4256
cards_yellow_red,-0.3235
