position,CB
minutes,0.9589
passes_completed,-0.1855
passes,0.0024
dribbles_completed,0.9255
dribbles,1.3752
passes_completed_short,0.2255
passes_short,0.5038
passes_completed_medium,-0.4187
passes_medium,-0.249
passes_completed_long,-0.5857
passes_long,-0.5277
passes_total_distance,-0.4007
passes_free_kicks,-0.6158
through_balls,-0.2865
passes_pressure,0.9966
passes_switches,-0.6164
crosses,0.4314
corner_kicks,-0.3242
passes_intercepted,0.4178
passes_blocked,0.7479
dispossessed,1.7965
goals,1.3733
assists,0.8072
pens_made,0.4563
pens_att,0.3272
shots_total,1.7696
shots_on_target,2.0517
sca,0.8785
gca,1.5788
xg,2.0522
crosses_into_penalty_area,-0.0868
passes_into_final_third,-0.3347
passes_into_penalty_area,-0.0715
progressive_passes,-0.2872
carry_progressive_distance,0.2762
assisted_shots,0.482
fouled,1.4642
pens_won,5.3153
tackles,-0.4181
interceptions,-0.4823
blocks,0.022
tackles_won,-0.3663
dribble_tackles,-0.4269
dribbles_vs,-0.2195
pressures,1.3919
pressure_regains,1.0512
clearances,-0.1895
errors,-0.5331
aerials_won,4.8363
aerials_lost,5.206
ball_recoveries,-0.0818
pens_conceded,-0.4889
fouls,2.4684
cards_yellow_red,-0.3235
