position,FW
minutes,-0.9108
passes_completed,-0.7841
passes,-0.8096
dribbles_completed,-0.5599
dribbles,-0.5893
passes_completed_short,-0.753
passes_short,-0.7675
passes_completed_medium,-0.732
passes_medium,-0.7562
passes_completed_long,-0.6974
passes_long,-0.669
passes_total_distance,-0.7733
passes_free_kicks,-0.5236
through_balls,-0.2865
passes_pressure,-0.8401
passes_switches,-0.6347
crosses,-0.4427
corner_kicks,-0.1278
passes_intercepted,-0.8134
passes_blocked,-0.6973
dispossessed,-0.559
goals,-0.3403
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.3867
shots_on_target,-0.3713
sca,-0.6475
gca,-0.6302
xg,-0.3785
crosses_into_penalty_area,-0.4603
passes_into_final_third,-0.6605
passes_into_penalty_area,-0.5593
progressive_passes,-0.7028
carry_progressive_distance,-0.6575
assisted_shots,-0.6196
fouled,-0.7199
pens_won,-0.3681
tackles,-0.8135
interceptions,-0.8029
blocks,-0.829
tackles_won,-0.7782
dribble_tackles,-0.7477
dribbles_vs,-0.7535
pressures,-0.7965
pressure_regains,-0.8536
clearances,-0.6104
errors,-0.5331
aerials_won,-0.6217
aerials_lost,-0.6571
ball_recoveries,-0.8664
pens_conceded,-0.4889
fouls,-0.7571
cards_yellow_red,-0.3235
