position,FW
minutes,-0.7231
passes_completed,-0.7588
passes,-0.7678
dribbles_completed,-0.4088
dribbles,-0.3152
passes_completed_short,-0.7198
passes_short,-0.7178
passes_completed_medium,-0.721
passes_medium,-0.7254
passes_completed_long,-0.6695
passes_long,-0.6579
passes_total_distance,-0.7556
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.6823
passes_switches,-0.6711
crosses,-0.3334
corner_kicks,-0.3242
passes_intercepted,-0.5354
passes_blocked,-0.4481
dispossessed,0.0419
goals,-0.2085
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.2495
shots_on_target,-0.1651
sca,-0.4413
gca,-0.525
xg,-0.176
crosses_into_penalty_area,-0.3669
passes_into_final_third,-0.6232
passes_into_penalty_area,-0.4983
progressive_passes,-0.6162
carry_progressive_distance,-0.6305
assisted_shots,-0.4544
fouled,-0.1866
pens_won,-0.3681
tackles,-0.7947
interceptions,-0.6604
blocks,-0.7013
tackles_won,-0.7488
dribble_tackles,-0.8012
dribbles_vs,-0.7535
pressures,-0.4897
pressure_regains,-0.4426
clearances,-0.5078
errors,-0.5331
aerials_won,-0.4922
aerials_lost,-0.2205
ball_recoveries,-0.7207
pens_conceded,-0.4889
fouls,-0.3539
cards_yellow_red,-0.3235
