position,FW
minutes,0.4602
passes_completed,-0.4376
passes,-0.3667
dribbles_completed,0.9507
dribbles,1.0554
passes_completed_short,-0.2803
passes_short,-0.1971
passes_completed_medium,-0.559
passes_medium,-0.471
passes_completed_long,-0.4925
passes_long,-0.4999
passes_total_distance,-0.5139
passes_free_kicks,-0.5605
through_balls,0.9945
passes_pressure,-0.1431
passes_switches,-0.2151
crosses,0.1218
corner_kicks,-0.2996
passes_intercepted,0.3384
passes_blocked,0.3243
dispossessed,1.3639
goals,2.1642
assists,0.5763
pens_made,1.8205
pens_att,2.0419
shots_total,2.887
shots_on_target,2.5157
sca,1.016
gca,1.2633
xg,2.7902
crosses_into_penalty_area,-0.1802
passes_into_final_third,-0.3068
passes_into_penalty_area,0.3248
progressive_passes,-0.1746
carry_progressive_distance,0.0444
assisted_shots,0.6197
fouled,2.1499
pens_won,1.9053
tackles,-0.4558
interceptions,-0.1618
blocks,0.2561
tackles_won,-0.4252
dribble_tackles,-0.5873
dribbles_vs,-0.105
pressures,0.7891
pressure_regains,0.6402
clearances,-0.4154
errors,-0.5331
aerials_won,0.1554
aerials_lost,1.2973
ball_recoveries,-0.2387
pens_conceded,-0.4889
fouls,1.2589
cards_yellow_red,-0.3235
