position,CB
minutes,2.848
passes_completed,2.7996
passes,2.7358
dribbles_completed,-0.3837
dribbles,-0.3761
passes_completed_short,1.3326
passes_short,1.3335
passes_completed_medium,3.2015
passes_medium,2.9822
passes_completed_long,4.1634
passes_long,3.6589
passes_total_distance,3.4803
passes_free_kicks,1.9662
through_balls,0.1405
passes_pressure,1.9127
passes_switches,6.024
crosses,-0.297
corner_kicks,-0.2996
passes_intercepted,1.3711
passes_blocked,0.3991
dispossessed,-0.1264
goals,0.3188
assists,0.5763
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.8483
shots_on_target,0.5566
sca,0.1499
gca,0.1062
xg,0.6054
crosses_into_penalty_area,-0.4603
passes_into_final_third,1.8431
passes_into_penalty_area,-0.1935
progressive_passes,0.821
carry_progressive_distance,2.2824
assisted_shots,0.0965
fouled,0.4991
pens_won,-0.3681
tackles,1.9164
interceptions,3.2574
blocks,3.9366
tackles_won,2.0168
dribble_tackles,1.6052
dribbles_vs,1.516
pressures,0.5666
pressure_regains,1.1302
clearances,5.4267
errors,3.3832
aerials_won,3.6522
aerials_lost,1.6715
ball_recoveries,3.8631
pens_conceded,-0.4889
fouls,1.1782
cards_yellow_red,2.2462
