position,DM
minutes,1.5859
passes_completed,1.6564
passes,1.5164
dribbles_completed,0.3213
dribbles,0.1569
passes_completed_short,1.3927
passes_short,1.4144
passes_completed_medium,1.8102
passes_medium,1.7166
passes_completed_long,1.2209
passes_long,0.769
passes_total_distance,1.5779
passes_free_kicks,0.1772
through_balls,0.1405
passes_pressure,1.5007
passes_switches,1.0984
crosses,-0.3152
corner_kicks,-0.2996
passes_intercepted,1.2519
passes_blocked,0.5735
dispossessed,0.3303
goals,-0.2085
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.6327
shots_on_target,0.2473
sca,0.6036
gca,0.8425
xg,0.0121
crosses_into_penalty_area,-0.0868
passes_into_final_third,1.5825
passes_into_penalty_area,-0.0106
progressive_passes,1.0288
carry_progressive_distance,0.8839
assisted_shots,0.2617
fouled,0.6007
pens_won,-0.3681
tackles,3.1025
interceptions,2.1533
blocks,1.8942
tackles_won,3.2231
dribble_tackles,2.033
dribbles_vs,2.832
pressures,3.0142
pressure_regains,3.6199
clearances,0.6422
errors,-0.5331
aerials_won,1.247
aerials_lost,1.1517
ball_recoveries,2.1521
pens_conceded,0.7569
fouls,1.8502
cards_yellow_red,4.8159
