position,CM
minutes,-0.0265
passes_completed,-0.1392
passes,-0.0672
dribbles_completed,-0.006
dribbles,-0.102
passes_completed_short,-0.1041
passes_short,-0.0242
passes_completed_medium,-0.131
passes_medium,-0.0513
passes_completed_long,-0.2551
passes_long,-0.1924
passes_total_distance,-0.1908
passes_free_kicks,-0.2285
through_balls,0.5675
passes_pressure,0.3127
passes_switches,-0.2333
crosses,-0.0785
corner_kicks,-0.1523
passes_intercepted,-0.0191
passes_blocked,0.1997
dispossessed,-0.1504
goals,-0.3403
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.319
shots_on_target,-0.2167
sca,0.3561
gca,0.001
xg,-0.2483
crosses_into_penalty_area,0.0066
passes_into_final_third,0.1679
passes_into_penalty_area,0.3248
progressive_passes,0.3968
carry_progressive_distance,-0.3494
assisted_shots,0.1791
fouled,0.1436
pens_won,1.9053
tackles,0.6173
interceptions,0.5149
blocks,-0.0631
tackles_won,0.5163
dribble_tackles,0.6426
dribbles_vs,0.4671
pressures,0.4694
pressure_regains,0.3319
clearances,0.0569
errors,-0.5331
aerials_won,0.2664
aerials_lost,-0.0126
ball_recoveries,0.5719
pens_conceded,-0.4889
fouls,0.8557
cards_yellow_red,2.2462
